,name,stusab
0,Puerto Rico,PR
1,Commonwealth of the Northern Mariana Islands,MP
2,Arkansas,AR
3,West Virginia,WV
4,Rhode Island,RI
5,Washington,WA
6,Louisiana,LA
7,Minnesota,MN
8,New Hampshire,NH
9,Kentucky,KY
10,South Dakota,SD
11,Missouri,MO
12,District of Columbia,DC
13,Arizona,AZ
14,Nevada,NV
15,Texas,TX
16,Guam,GU
17,Massachusetts,MA
18,American Samoa,AS
19,Alaska,AK
20,Michigan,MI
21,Colorado,CO
22,South Carolina,SC
23,Oklahoma,OK
24,Indiana,IN
25,Alabama,AL
26,Ohio,OH
27,Virginia,VA
28,Illinois,IL
29,Idaho,ID
30,Nebraska,NE
31,Montana,MT
32,Maryland,MD
33,New Mexico,NM
34,Hawaii,HI
35,Kansas,KS
36,Delaware,DE
37,Tennessee,TN
38,Wyoming,WY
39,North Dakota,ND
40,North Carolina,NC
41,Vermont,VT
42,New Jersey,NJ
43,Connecticut,CT
44,Pennsylvania,PA
45,Utah,UT
46,Mississippi,MS
47,Georgia,GA
48,New York,NY
49,United States Virgin Islands,VI
50,Wisconsin,WI
51,California,CA
52,Oregon,OR
53,Maine,ME
54,Iowa,IA
55,Florida,FL
